,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Release Date,Movie Title,Production Budget ($),Worldwide Gross ($),Domestic Gross ($)
0,0,0,357,231,3009,1/1/1978,Caravans,14000000,1000000,1000000
1,1,1,358,220,3765,5/8/1977,March or Die,7000000,1000000,1000000
2,2,2,359,663,4983,1/10/1993,Ruby in Paradise,800000,1001437,1001437
3,3,3,360,3182,67,7/18/2008,The Dark Knight,185000000,1002572859,533345358
4,4,4,361,3383,4771,5/22/2009,The Girlfriend Experience,1300000,1005840,695840
5,5,5,362,1970,3439,2/5/2003,Owning Mahowny,10000000,1011054,1011054
6,6,6,363,4111,4999,3/2/2012,The Innkeepers,750000,1011535,78396
7,7,7,364,4282,13,12/14/2012,The Hobbit: An Unexpected Journey,250000000,1017003568,303003568
8,8,8,365,5164,136,4/3/2016,Zootopia,150000000,1019922983,341268248
9,9,9,366,3561,4402,1/10/2010,Chain Letter,3000000,1022453,205842
10,10,10,367,5200,39,6/17/2016,Finding Dory,200000000,1022617376,486295561
11,11,11,368,1995,4130,3/14/2003,Spun,4500000,1022649,410241
12,12,12,369,3641,44,5/3/2010,Alice in Wonderland,200000000,1025491110,334191110
13,13,13,370,1249,272,5/19/1999,Star Wars Ep. I: The Phantom Menace,115000000,1027044677,474544677
14,14,14,371,1278,5062,7/30/1999,Twin Falls Idaho,500000,1027228,985341
15,15,15,372,1490,5226,9/15/2000,Urbania,225000,1032075,1032075
16,16,16,373,2263,3817,7/23/2004,A Home at the End of the World,6500000,1033810,1029017
17,17,17,374,4905,4921,5/15/2015,Childless,1000000,1036,1036
18,18,18,375,695,758,11/6/1993,Jurassic Park,63000000,1038812584,395708305
19,19,19,376,3897,17,5/20/2011,Pirates of the Caribbean: On Stranger Tides,250000000,1045663875,241063875
20,20,20,377,4089,3444,1/20/2012,Coriolanus,10000000,1049641,749641
21,21,21,378,646,4051,9/21/1992,Light Sleeper,5000000,1050861,1050861
22,22,22,379,5293,38,12/16/2016,Rogue One: A Star Wars Story,200000000,1050988488,532177324
23,23,23,380,2999,3440,10/19/2007,The Ten Commandments,10000000,1051907,952820
24,24,24,381,1988,3932,3/10/2003,Wonderland,5500000,1060512,1060512
25,25,25,382,4220,2495,8/29/2012,The Oogieloves in the BIG Balloon Adventure,20000000,1065907,1065907
26,26,26,383,2709,23,7/7/2006,Pirates of the Caribbean: Dead Man’s Chest,225000000,1066215812,423315812
27,27,27,384,2962,3302,8/24/2007,September Dawn,10100000,1066555,1066555
28,28,28,385,2487,3544,8/26/2005,Undiscovered,9000000,1069318,1069318
29,29,29,386,4579,3438,3/21/2014,50 to 1,10000000,1069454,1069454
30,30,30,387,3670,40,6/18/2010,Toy Story 3,200000000,1069818229,415004880
31,31,31,388,4447,4056,8/16/2013,Ain't Them Bodies Saints,5000000,1075009,391611
32,32,32,389,1692,4589,9/28/2001,Dinner Rush,2000000,1075504,638227
33,33,33,390,5271,1433,11/11/2016,USS Indianapolis: Men of Courage,40000000,1079040,0
34,34,34,391,4875,3676,4/14/2015,Loin des hommes,7700000,1080428,5336
35,35,35,392,953,1997,2/21/1997,Blood and Wine,26000000,1083350,1083350
36,36,36,393,4196,5,7/20/2012,The Dark Knight Rises,275000000,1084439099,448139099
37,37,37,394,1137,4878,9/10/1998,Slam,1000000,1087521,1009819
38,38,38,395,4132,3118,4/5/2012,A Little Bit of Heaven,12500000,1100287,10011
39,39,39,396,4621,31,6/27/2014,Transformers: Age of Extinction,210000000,1104039076,245439076
40,40,40,397,4197,5225,7/20/2012,Burn,225000,1109276,1109276
41,41,41,398,4205,45,8/11/2012,Skyfall,200000000,1110526981,304360277
42,42,42,399,1966,5061,1/31/2003,The R.M.,500000,1111615,1111615
43,43,43,400,3919,56,6/29/2011,Transformers: Dark of the Moon,195000000,1123790543,352390543
44,44,44,401,2398,4727,3/25/2005,The Ballad of Jack and Rose,1500000,1126258,712294
45,45,45,402,3949,5058,8/7/2011,Sholem Aleichem: Laughing in the Darkness,500000,1131261,1131261
46,46,46,403,2935,4586,7/9/2007,In the Shadow of the Moon,2000000,1134358,1134358
47,47,47,404,1641,5013,7/9/2001,L.I.E.,700000,1140965,1140965
48,48,48,405,2143,383,12/17/2003,The Lord of the Rings: The Return of the King,94000000,1141403341,377845905
49,49,49,406,1116,967,7/22/1998,Lolita,55000000,1147784,1147784
50,50,50,407,3877,2937,4/11/2011,The Son of No One,15000000,1148578,30680
